boostclock,brand,chipmake,coreclock,gpu,memoryclock,memoryinterface,memorysize,memorytype,model,price,productname,rank,rating,url
,,,,,,,,,,809.90,GIGABYTE AORUS GeForce RTX 2080 Ti DirectX 12 GV-N208TIXEB-11GC 11GB 256-Bit GDDR6 PCI Express 3.0 x4 SLI Support ATX Gaming Box,437,Rating + 4,https://www.newegg.com/gigabyte-geforce-rtx-2080-ti-gv-n208tixeb-11gc/p/N82E16814932227
,,,,,,,,,,63.00,PNY Quadro P620 Graphic Card VCQP620V2PB,440,Rating + 5,https://www.newegg.com/p/1FT-000P-003S2
,,,,,,,,,,79.99,MAXSUN GeForce GT 730 DirectX 12 730HH4G 4GB 128-Bit DDR3 PCI Express 2.0 x16 Standard ATX Video Card HDMI+DVI+VGA,436,Rating + 4,https://www.newegg.com/maxsun-geforce-gt-730-gt-730-hh4g/p/1FT-009J-00021
,,,,,,,,,,53.00,EVGA GeForce 8400 GS DirectX 10 512-P2-N738-LR 512MB 64-Bit DDR2 PCI Express x16 HDCP Ready Video Card,435,Rating + 4,https://www.newegg.com/evga-geforce-8400-gs-512-p2-n738-lr/p/N82E16814130313
,,,,,,,,,,475.99,GIGABYTE GeForce GTX 1070 Ti DirectX 12 AORUS 8GB 256-Bit GDDR5 PCI Express 3.0 x16 ATX Video Card,433,Rating + 5,https://www.newegg.com/gigabyte-geforce-gtx-1070-ti-gv-n107taorus-8gd/p/N82E16814932029
,,,,,,,,,,"2,352.79",GIGABYTE GeForce RTX 2060 SUPER DirectX 12 GV-N206SGAMING OC-8GD v2.0 8GB 256-Bit GDDR6 PCI Express 3.0 x16 ATX Video Card,428,Rating + 4,https://www.newegg.com/gigabyte-geforce-rtx-2060-super-gv-n206sgaming-oc-8gd-v2-0/p/N82E16814932250
,,,,,,,,,,475.99,PNY Verto GeForce 210 DirectX 10.1 VCGG2101XPB 1GB 128-Bit DDR2 PCI Express 2.0 x16 HDCP Ready Low Profile Ready Video Card,432,Rating + 5,https://www.newegg.com/pny-geforce-210-vcgg2101xpb/p/N82E16814133320
,,,,,,,,,,698.97,GIGABYTE GeForce GTX 1660 SUPER DirectX 12 GV-N166SOC-6GD 6GB 192-Bit GDDR6 PCI Express 3.0 x16 ATX Video Card,427,Rating + 4,https://www.newegg.com/gigabyte-geforce-gtx-1660-super-gv-n166soc-6gd/p/N82E16814932224
,,,,,,,,,,48.55,PNY GeForce FX 5200 DirectX 9 VCGFX522PEB 256MB 128-Bit DDR PCI Video Card,431,Rating + 3,https://www.newegg.com/pny-geforce-fx-5200-vcgfx522peb/p/N82E16814133233
,,,,,,,,,,698.97,"PowerColor Red Devil Limited Edition AMD Radeon RX 6800 Gaming Graphics Card with 16GB GDDR6 Memory, Powered by AMD RDNA 2, Raytracing, PCI Express 4.0, HDMI 2.1, AMD Infinity Cache",426,Rating + 4,https://www.newegg.com/powercolor-radeon-rx-6800-axrx-6800-16gbd6-2dhce-oc/p/N82E16814131770
,,,,,,,,,,48.55,MSI GeForce GT 710 1GB DirectX 12 GT 710 1GD3H LP 64-Bit DDR3 PCI Express 2.0 x16 HDCP Ready Low Profile Video Graphics Card,430,Rating + 3,https://www.newegg.com/msi-geforce-gt-710-gt-710-1gd3h-lp/p/1FT-0009-000Y6
,,,,,,,,,,"2,352.79",AMD Radeon RX 570 4GB GDDR5 PCI Express 3.0 Gaming Graphics Card - OEM,429,Rating + 4,https://www.newegg.com/amd-radeon-rx-570/p/27N-0018-00089
,,,,,,,,,,809.90,ASUS GeForce GTX 1660 6GB Phoenix Fan Edition HDMI DP DVI Graphics Card (PH-GTX1660-6G),420,Rating + 4,https://www.newegg.com/asus-geforce-gtx-1660-ph-gtx1660-6g/p/N82E16814126308
,,,,,,,,,,119.97,1GB nVIDIA GeForce PCIe 2.0 x16 Single Slot Low Profile Video Graphics Card for HP COMPAQ dc5750 dc5800 dc5850 dc6000 SFF,425,Rating + 4,https://www.newegg.com/p/1FT-000E-001D4
,,,,,,,,,,119.97,"Visiontek Radeon HD 5450 2GB DDR3 (DVI-I, HDMI, VGA), 900356",424,Rating + 4,https://www.newegg.com/visiontek-900356/p/27N-001B-001E0
,,,,,,,,,,63.00,"Radeon 5450 2GB DDR3 (DVI-I, HDMI, VGA) Graphics Card - 900861,Black/Red",423,Rating + 5,https://www.newegg.com/p/1HD-00DG-00001
,,,,,,,,,,79.99,"AMD RX 580 256-Bit 8GB GDDR5 CORN Graphic Card RX580 Direct X12 Video Card VGA GPU PCI Express 3.0 DP/DVI-D/HDMI,Play for LOL,DOTA,COD,War Thunder,Apex etc.",419,Rating + 4,https://www.newegg.com/p/27N-003A-00007
,,,,,,,,,,809.90,ASUS ROG Strix Radeon RX 5700 ROG-STRIX-RX5700-O8G-GAMING 8GB 256-Bit GDDR6 PCI Express 4.0 HDCP Ready CrossFireX Support Video Card,421,Rating + 4,https://www.newegg.com/asus-radeon-rx-5700-rog-strix-rx5700-o8g-gaming/p/N82E16814126381
,,,,,,,,,,53.00,ASUS GeForce GT 1030 2GB GDDR5 HDMI DVI Graphics Card (GT1030-2G-CSM),416,Rating + 4,https://www.newegg.com/asus-geforce-gt-1030-gt1030-2g-csm/p/N82E16814126203
,,,,,,,,,,79.99,XFX Radeon RX 580 DirectX 12 RX-580P8DFD6 XXX Edition 8GB 256-Bit GDDR5 PCI Express 3.0 CrossFireX Support Video Card,418,Rating + 4,https://www.newegg.com/xfx-radeon-rx-580-rx-580p8dfd6/p/27N-0002-000P6
,,,,,,,,,,919.99,MSI GeForce GTX 1070 Ti DirectX 12 GTX 1070 Ti Titanium 8G 8GB 256-Bit GDDR5 PCI Express 3.0 x16 HDCP Ready SLI Support ATX Video Card - (OEM Packaging and Manual),415,Rating + 3,https://www.newegg.com/msi-geforce-gtx-1070-ti-gtx-1070-ti-gaming-8g/p/1FT-0009-004A6
,,,,,,,,,,708.90,"PNY GeForce RTX 2080 XLR8 Gaming Overclocked Edition Graphics Card, VCG20808DFPPB-O",412,Rating + 3,https://www.newegg.com/pny-geforce-rtx-2080-vcg20808dfppb-o/p/N82E16814133759
,,,,,,,,,,63.00,DELL 1CX3M Radeon HD6350 512MB Low Profile Graphic Card 01CX3M,422,Rating + 5,https://www.newegg.com/p/36F-005K-00024
,,,,,,,,,,53.00,"VisionTek Radeon 7750 SFF 1GB GDDR5 (DVI-I, HDMI) (900549)",417,Rating + 4,https://www.newegg.com/visiontek-radeon-hd-7750-900549/p/N82E16814129263
,,,,,,,,,,475.99,ASUS ROG GeForce GTX 1050 Ti STRIX-GTX1050TI-O4G-GAMING 4GB 128-Bit GDDR5 PCI Express 3.0 HDCP Ready Video Card,414,Rating + 5,https://www.newegg.com/asus-geforce-gtx-1050-ti-strix-gtx1050ti-o4g-gaming/p/N82E16814126171
,,,,,,,,,,229.99,ASRock Radeon RX 6900 XT Gaming Graphic Card 16GB GDDR6 VRAM AMD RDNA2,409,Rating + 4,https://www.newegg.com/asrock-radeon-rx-6900-xt-rx6900xt-16g/p/N82E16814930051
,,,,,,,,,,475.99,GIGABYTE GeForce GT 710 DirectX 12 GV-N710D5SL-2GL 2GB 64-Bit GDDR5 PCI Express 2.0 x8 Low Profile Video Card,413,Rating + 5,https://www.newegg.com/gigabyte-geforce-gt-710-gv-n710d5sl-2gl/p/N82E16814932005
,,,,,,,,,,48.55,"VisionTek Radeon 7750 2GB GDDR5 5M (4 x HDMI, miniDP) (900690)",411,Rating + 3,https://www.newegg.com/visiontek-radeon-hd-7750-900690/p/N82E16814129305
